SFDB_ID,Mobile_Number,District,Age,Gender,Community,Education_Level,Occupation,Annual_Income,Marital_Status,Disability_Status,Eligible_Scheme
TN-COTI-Y7GL,9.17E+11,Ramanathapuram,38,Male,General,Illiterate,Daily Wage,40437,Married,0,MGNREGS (100 Days Work)
TN-442F-YNBI,9.19E+11,Salem,50,Female,BC,10th Pass,Daily Wage,66170,Married,0,Kalaignar Magalir Urimai Thogai
TN-G9WQ-3I1U,9.19E+11,Salem,45,Female,BC,12th Pass,Agriculture,45898,Married,0,Kalaignar Magalir Urimai Thogai
TN-5ALS-0U7Y,9.17E+11,Kanyakumari,40,Male,BC,8th Pass,Agriculture,54884,Widow,0,Uzhavar Aluvalar Thodarbu Thittam
TN-9WUV-9SXT,9.19E+11,Kanyakumari,78,Male,BC,Graduate,Unemployed,34180,Widow,0,Indira Gandhi National Old Age Pension
TN-KNPY-ULZT,9.17E+11,Tirunelveli,61,Male,MBC,Diploma,Unemployed,15356,Single,0,Indira Gandhi National Old Age Pension
TN-6UU9-UXXH,9.18E+11,Madurai,35,Female,BC,12th Pass,Agriculture,55570,Married,0,Kalaignar Magalir Urimai Thogai
TN-2PUS-XXY8,9.18E+11,Ramanathapuram,84,Male,BC,10th Pass,Unemployed,101715,Married,0,General Welfare / No Specific Scheme
TN-VNJG-8JED,9.20E+11,Vellore,50,Female,MBC,12th Pass,Unemployed,17460,Married,0,Kalaignar Magalir Urimai Thogai
TN-1Q50-OR4C,9.17E+11,Trichy,66,Male,MBC,12th Pass,Unemployed,15508,Widow,0,Indira Gandhi National Old Age Pension
TN-T33M-WEGY,9.18E+11,Theni,20,Female,BC,8th Pass,Student,73885,Single,0,General Welfare / No Specific Scheme
TN-CX1Z-4IFK,9.19E+11,Vellore,32,Male,BC,10th Pass,Daily Wage,43092,Married,0,MGNREGS (100 Days Work)
TN-6EO7-XUIR,9.17E+11,Madurai,19,Female,BC,Diploma,Student,46406,Single,1,Pudhumai Penn Scheme
TN-NF0O-PM3L,9.16E+11,Chennai,33,Female,ST,10th Pass,Agriculture,51417,Married,0,Kalaignar Magalir Urimai Thogai
TN-H5XF-OXXV,9.17E+11,Salem,19,Male,BC,10th Pass,Student,73717,Single,0,General Welfare / No Specific Scheme
TN-PB26-WKYK,9.18E+11,Vellore,49,Male,MBC,12th Pass,Agriculture,245148,Married,0,Uzhavar Aluvalar Thodarbu Thittam
TN-MGSN-QD1E,9.17E+11,Coimbatore,29,Male,MBC,Diploma,Agriculture,112265,Widow,0,Uzhavar Aluvalar Thodarbu Thittam
TN-R7FM-T7XM,9.19E+11,Chennai,49,Female,ST,10th Pass,Agriculture,28992,Single,0,Uzhavar Aluvalar Thodarbu Thittam
TN-HMT0-W22W,9.20E+11,Chennai,22,Male,BC,Diploma,Agriculture,62464,Married,0,Tamil Pudhalvan Thittam
TN-FNV2-ASJI,9.19E+11,Ramanathapuram,73,Male,MBC,Illiterate,Unemployed,49612,Widow,0,Indira Gandhi National Old Age Pension
TN-0HC3-524O,9.17E+11,Kanyakumari,58,Male,MBC,10th Pass,Agriculture,81746,Married,0,Uzhavar Aluvalar Thodarbu Thittam
TN-JSK8-WGO2,9.16E+11,Ramanathapuram,51,Male,BC,10th Pass,Agriculture,21167,Married,0,Uzhavar Aluvalar Thodarbu Thittam
TN-QAGZ-1E3I,9.20E+11,Trichy,31,Female,MBC,10th Pass,Self-Employed,98289,Married,0,Kalaignar Magalir Urimai Thogai
TN-7U23-SNMQ,9.18E+11,Madurai,37,Male,SC,10th Pass,Unemployed,42688,Separated,0,General Welfare / No Specific Scheme
TN-21RO-GDYG,9.19E+11,Salem,80,Female,MBC,10th Pass,Unemployed,51042,Married,0,Indira Gandhi National Old Age Pension
TN-8YS4-Y1WX,9.20E+11,Chennai,27,Female,BC,10th Pass,Self-Employed,73723,Married,0,Kalaignar Magalir Urimai Thogai
TN-40KE-FKBR,9.17E+11,Chennai,33,Male,BC,Illiterate,Daily Wage,108496,Widow,1,Differently Abled Pension Scheme
TN-FI5D-W4KW,9.19E+11,Ramanathapuram,67,Male,MBC,Illiterate,Unemployed,60104,Married,0,Indira Gandhi National Old Age Pension
TN-9M0D-2PNR,9.17E+11,Ramanathapuram,70,Female,MBC,8th Pass,Unemployed,45651,Married,0,Indira Gandhi National Old Age Pension
TN-3OWM-IXQR,9.17E+11,Chennai,64,Female,SC,10th Pass,Agriculture,71597,Widow,0,Destitute Widow Pension Scheme
TN-SQ0L-6Q6Z,9.19E+11,Trichy,17,Male,MBC,Illiterate,Student,26971,Single,0,General Welfare / No Specific Scheme
TN-4GN1-N1A1,9.17E+11,Tirunelveli,46,Male,MBC,8th Pass,Weaver,18903,Married,0,General Welfare / No Specific Scheme
TN-UH7Y-KFUG,9.18E+11,Theni,79,Male,BC,8th Pass,Unemployed,63156,Widow,0,Indira Gandhi National Old Age Pension
TN-P62Q-D8BV,9.16E+11,Coimbatore,64,Male,MBC,Graduate,Daily Wage,48126,Widow,0,Indira Gandhi National Old Age Pension
TN-A9NV-P7TS,9.18E+11,Trichy,71,Female,SC,8th Pass,Unemployed,55859,Married,0,Indira Gandhi National Old Age Pension
TN-7XDP-99Z9,9.20E+11,Vellore,72,Female,SC,10th Pass,Unemployed,86187,Married,0,Indira Gandhi National Old Age Pension
TN-EYNQ-ONK0,9.20E+11,Kanyakumari,75,Female,BC,Illiterate,Unemployed,66061,Married,0,Indira Gandhi National Old Age Pension
TN-L3M5-LP7C,9.17E+11,Ramanathapuram,39,Female,SC,8th Pass,Daily Wage,57116,Single,0,MGNREGS (100 Days Work)
TN-N9LI-DB2H,9.17E+11,Salem,17,Female,SC,10th Pass,Student,15189,Single,0,General Welfare / No Specific Scheme
TN-AF25-VFQX,9.19E+11,Tirunelveli,40,Male,BC,8th Pass,Agriculture,93009,Married,0,Uzhavar Aluvalar Thodarbu Thittam
TN-ITJF-LNLQ,9.18E+11,Salem,64,Female,SC,10th Pass,Unemployed,57319,Married,0,Indira Gandhi National Old Age Pension
TN-907A-UU26,9.17E+11,Tirunelveli,27,Female,SC,12th Pass,Agriculture,23036,Married,0,Kalaignar Magalir Urimai Thogai
TN-9QHO-F61V,9.18E+11,Ramanathapuram,84,Female,MBC,Graduate,Unemployed,117621,Married,0,Kalaignar Magalir Urimai Thogai
TN-RZ4S-SKLT,9.18E+11,Madurai,50,Female,BC,10th Pass,Unemployed,135701,Married,0,Kalaignar Magalir Urimai Thogai
TN-1XHY-QS1T,9.16E+11,Coimbatore,42,Female,ST,Illiterate,Agriculture,62393,Married,0,Kalaignar Magalir Urimai Thogai
TN-EO5H-0EVV,9.17E+11,Theni,20,Male,MBC,10th Pass,Student,69641,Single,0,General Welfare / No Specific Scheme
TN-YKX8-JJ1Y,9.17E+11,Theni,60,Male,SC,Graduate,Daily Wage,19351,Single,0,Indira Gandhi National Old Age Pension
TN-34Y6-VNI2,9.16E+11,Chennai,31,Male,MBC,10th Pass,Daily Wage,31532,Married,0,MGNREGS (100 Days Work)
TN-NNYQ-HROA,9.20E+11,Madurai,56,Male,BC,10th Pass,Self-Employed,29738,Single,0,General Welfare / No Specific Scheme
TN-WTK8-16OW,9.18E+11,Vellore,65,Female,MBC,10th Pass,Unemployed,23670,Single,0,Indira Gandhi National Old Age Pension
TN-MO5N-TWJC,9.20E+11,Theni,26,Male,General,8th Pass,Agriculture,42845,Married,0,Uzhavar Aluvalar Thodarbu Thittam
TN-SMC9-YHU5,9.17E+11,Ramanathapuram,76,Male,MBC,8th Pass,Unemployed,36097,Married,0,Indira Gandhi National Old Age Pension
TN-JDKR-BOBP,9.18E+11,Coimbatore,43,Female,BC,8th Pass,Daily Wage,57311,Married,0,Kalaignar Magalir Urimai Thogai
TN-W7KT-VNMK,9.20E+11,Tirunelveli,34,Male,MBC,10th Pass,Self-Employed,57218,Widow,0,General Welfare / No Specific Scheme
TN-VRFD-UMVB,9.17E+11,Madurai,28,Female,BC,12th Pass,Daily Wage,238497,Married,0,Kalaignar Magalir Urimai Thogai
TN-ZC19-17MA,9.19E+11,Vellore,85,Female,BC,10th Pass,Unemployed,32293,Married,0,Indira Gandhi National Old Age Pension
TN-UN12-BA18,9.18E+11,Chennai,20,Male,MBC,12th Pass,Student,103879,Single,0,Tamil Pudhalvan Thittam
TN-TEVY-2I59,9.18E+11,Salem,36,Male,SC,12th Pass,Agriculture,15481,Single,0,Uzhavar Aluvalar Thodarbu Thittam
TN-S33H-B8HS,9.17E+11,Trichy,56,Female,BC,10th Pass,Unemployed,39675,Married,0,Kalaignar Magalir Urimai Thogai
TN-1D9F-CQ20,9.16E+11,Coimbatore,57,Male,SC,12th Pass,Agriculture,30862,Married,0,Uzhavar Aluvalar Thodarbu Thittam
TN-KPWA-BAE5,9.18E+11,Chennai,84,Male,MBC,Graduate,Unemployed,74141,Married,0,Indira Gandhi National Old Age Pension
TN-NTPG-WC8K,9.20E+11,Vellore,32,Male,BC,Graduate,Agriculture,54608,Married,0,Uzhavar Aluvalar Thodarbu Thittam
TN-7OBY-M9KT,9.18E+11,Theni,37,Male,BC,12th Pass,Agriculture,78029,Married,0,Uzhavar Aluvalar Thodarbu Thittam
TN-SGW8-KM8S,9.20E+11,Chennai,32,Female,MBC,8th Pass,Daily Wage,38782,Separated,0,Kalaignar Magalir Urimai Thogai
TN-T4MF-5IN0,9.17E+11,Coimbatore,68,Female,MBC,12th Pass,Unemployed,26868,Married,0,Indira Gandhi National Old Age Pension
TN-0V7H-V38U,9.17E+11,Chennai,73,Female,BC,8th Pass,Unemployed,36827,Married,0,Indira Gandhi National Old Age Pension
TN-GHXX-CTDB,9.17E+11,Ramanathapuram,28,Female,SC,12th Pass,Daily Wage,61893,Married,0,Kalaignar Magalir Urimai Thogai
TN-5UF6-JJFU,9.18E+11,Kanyakumari,56,Female,MBC,10th Pass,Agriculture,134931,Married,0,Kalaignar Magalir Urimai Thogai
TN-0FWP-T25H,9.19E+11,Trichy,81,Female,BC,8th Pass,Unemployed,29130,Married,0,Indira Gandhi National Old Age Pension
TN-RHMC-FBTF,9.19E+11,Salem,17,Male,BC,8th Pass,Student,76764,Single,0,General Welfare / No Specific Scheme
TN-TWJR-X2ML,9.20E+11,Ramanathapuram,42,Female,MBC,8th Pass,Agriculture,124563,Single,0,Uzhavar Aluvalar Thodarbu Thittam
TN-RNAQ-VKBD,9.20E+11,Coimbatore,50,Male,SC,8th Pass,Weaver,109268,Married,1,Differently Abled Pension Scheme
TN-9WDK-QTZ7,9.19E+11,Vellore,39,Female,BC,Graduate,Weaver,23188,Married,0,Kalaignar Magalir Urimai Thogai
TN-6FUL-E91B,9.16E+11,Theni,40,Female,BC,12th Pass,Agriculture,134925,Single,0,Uzhavar Aluvalar Thodarbu Thittam
TN-BJP4-EAS7,9.18E+11,Salem,49,Male,BC,8th Pass,Agriculture,60558,Married,0,Uzhavar Aluvalar Thodarbu Thittam
TN-RAB4-RU9X,9.19E+11,Ramanathapuram,59,Male,MBC,12th Pass,Unemployed,50460,Married,0,General Welfare / No Specific Scheme
TN-RIA9-A4VV,9.19E+11,Trichy,72,Male,General,12th Pass,Unemployed,75298,Married,0,Indira Gandhi National Old Age Pension
TN-49Y0-Q2ZG,9.17E+11,Salem,30,Male,BC,8th Pass,Unemployed,36147,Married,0,General Welfare / No Specific Scheme
TN-XYYA-WI62,9.19E+11,Trichy,51,Male,BC,8th Pass,Daily Wage,73273,Married,0,MGNREGS (100 Days Work)
TN-DGYA-7FFL,9.19E+11,Chennai,27,Female,ST,12th Pass,Daily Wage,71234,Widow,0,Destitute Widow Pension Scheme
TN-36BA-RJDZ,9.19E+11,Theni,27,Male,BC,12th Pass,Daily Wage,23425,Married,0,MGNREGS (100 Days Work)
TN-Z8DM-KDGE,9.17E+11,Ramanathapuram,24,Female,MBC,10th Pass,Self-Employed,144437,Married,0,Kalaignar Magalir Urimai Thogai
TN-X52G-0GTV,9.20E+11,Theni,56,Male,BC,Illiterate,Daily Wage,69507,Married,0,MGNREGS (100 Days Work)
TN-TVFL-M4EJ,9.20E+11,Theni,64,Female,BC,10th Pass,Agriculture,61947,Married,0,Indira Gandhi National Old Age Pension
TN-7BT2-9ALB,9.16E+11,Theni,19,Female,MBC,12th Pass,Student,68728,Single,0,Pudhumai Penn Scheme
TN-TJI0-7MJC,9.18E+11,Chennai,50,Female,SC,8th Pass,Weaver,18703,Married,0,Kalaignar Magalir Urimai Thogai
TN-DR92-CC6K,9.18E+11,Coimbatore,50,Male,MBC,Illiterate,Daily Wage,58883,Single,0,MGNREGS (100 Days Work)
TN-NQBJ-ZPJ0,9.19E+11,Theni,40,Female,General,Graduate,Daily Wage,44496,Single,0,MGNREGS (100 Days Work)
TN-6OBF-5G6T,9.20E+11,Theni,32,Female,MBC,Diploma,Agriculture,17987,Married,0,Kalaignar Magalir Urimai Thogai
TN-ZXV9-9GWZ,9.18E+11,Ramanathapuram,81,Male,BC,12th Pass,Unemployed,118854,Widow,0,General Welfare / No Specific Scheme
TN-JHR0-R9CX,9.19E+11,Chennai,27,Female,BC,12th Pass,Self-Employed,47019,Married,0,Kalaignar Magalir Urimai Thogai
TN-BE7A-QLBR,9.18E+11,Vellore,50,Male,ST,Diploma,Agriculture,78957,Married,0,Uzhavar Aluvalar Thodarbu Thittam
TN-IK6L-JUDB,9.20E+11,Chennai,20,Female,BC,10th Pass,Student,147062,Single,0,General Welfare / No Specific Scheme
TN-J16J-CAAP,9.18E+11,Theni,55,Male,MBC,12th Pass,Unemployed,67150,Married,0,General Welfare / No Specific Scheme
TN-IV9R-FQNN,9.20E+11,Kanyakumari,29,Female,MBC,12th Pass,Daily Wage,49155,Married,1,Differently Abled Pension Scheme
TN-1Y31-5013,9.19E+11,Theni,73,Female,MBC,12th Pass,Unemployed,35048,Married,0,Indira Gandhi National Old Age Pension
TN-D39W-3349,9.18E+11,Ramanathapuram,57,Male,BC,Illiterate,Agriculture,70367,Married,0,Uzhavar Aluvalar Thodarbu Thittam
TN-NB1Y-FVZV,9.18E+11,Madurai,44,Male,BC,Diploma,Daily Wage,43719,Single,0,MGNREGS (100 Days Work)
TN-YAQ5-KON5,9.18E+11,Ramanathapuram,35,Female,MBC,12th Pass,Agriculture,53248,Married,0,Kalaignar Magalir Urimai Thogai
TN-ITBJ-AJ4M,9.19E+11,Coimbatore,78,Male,BC,12th Pass,Unemployed,168034,Widow,0,General Welfare / No Specific Scheme
TN-POBD-CXUU,9.16E+11,Coimbatore,84,Male,BC,12th Pass,Unemployed,123801,Married,0,General Welfare / No Specific Scheme
TN-0QCS-SEIW,9.19E+11,Trichy,42,Male,MBC,8th Pass,Agriculture,104499,Married,0,Uzhavar Aluvalar Thodarbu Thittam
TN-43JB-4TDT,9.17E+11,Coimbatore,66,Female,MBC,Illiterate,Unemployed,138268,Widow,0,Dr. Dharmambal Ammaiyar Widow Remarriage Assistance
TN-XRTW-828G,9.18E+11,Chennai,73,Female,SC,10th Pass,Unemployed,38745,Widow,0,Destitute Widow Pension Scheme
TN-OB83-7L0R,9.18E+11,Madurai,64,Male,BC,12th Pass,Unemployed,71804,Separated,0,Indira Gandhi National Old Age Pension
TN-AA9G-EGMN,9.19E+11,Coimbatore,16,Male,BC,8th Pass,Student,102322,Single,0,General Welfare / No Specific Scheme
TN-KPHB-NYFL,9.20E+11,Vellore,84,Male,MBC,10th Pass,Unemployed,27796,Widow,0,Indira Gandhi National Old Age Pension
TN-SNXF-PNCV,9.18E+11,Theni,46,Female,SC,12th Pass,Agriculture,24277,Married,0,Kalaignar Magalir Urimai Thogai
TN-DIIP-U551,9.18E+11,Chennai,60,Female,BC,Graduate,Self-Employed,58511,Married,0,Indira Gandhi National Old Age Pension
TN-7900-21WE,9.20E+11,Madurai,24,Female,BC,8th Pass,Self-Employed,72673,Married,0,Kalaignar Magalir Urimai Thogai
TN-QH0X-X011,9.16E+11,Trichy,66,Male,BC,8th Pass,Unemployed,29157,Married,0,Indira Gandhi National Old Age Pension
TN-4VHS-V99W,9.18E+11,Theni,61,Female,BC,10th Pass,Agriculture,225511,Married,0,Kalaignar Magalir Urimai Thogai
TN-67WI-0N0D,9.16E+11,Madurai,32,Female,MBC,8th Pass,Daily Wage,71073,Separated,0,Kalaignar Magalir Urimai Thogai
TN-YTX5-GIJJ,9.17E+11,Coimbatore,72,Male,BC,8th Pass,Unemployed,281178,Widow,0,General Welfare / No Specific Scheme
TN-T7MG-6TRG,9.20E+11,Chennai,49,Male,BC,8th Pass,Agriculture,62853,Single,0,Uzhavar Aluvalar Thodarbu Thittam
TN-UYNC-HAPH,9.18E+11,Theni,56,Male,SC,Illiterate,Daily Wage,17205,Married,0,MGNREGS (100 Days Work)
TN-D9T8-UFAO,9.17E+11,Tirunelveli,75,Female,SC,10th Pass,Unemployed,119478,Married,0,Kalaignar Magalir Urimai Thogai
TN-8DIM-2VL6,9.18E+11,Kanyakumari,68,Male,BC,12th Pass,Unemployed,58990,Married,0,Indira Gandhi National Old Age Pension
TN-3IAB-OGEU,9.18E+11,Madurai,79,Female,MBC,Graduate,Unemployed,106478,Married,1,Differently Abled Pension Scheme
TN-X1HX-Z1FF,9.18E+11,Ramanathapuram,57,Female,SC,12th Pass,Agriculture,15600,Married,0,Kalaignar Magalir Urimai Thogai
TN-YFH2-II1N,9.16E+11,Theni,58,Male,BC,Illiterate,Daily Wage,34225,Married,0,MGNREGS (100 Days Work)
TN-8C7J-DOOI,9.18E+11,Ramanathapuram,28,Female,MBC,10th Pass,Daily Wage,114861,Married,0,Kalaignar Magalir Urimai Thogai
TN-ORGP-VD1B,9.16E+11,Tirunelveli,66,Male,SC,12th Pass,Unemployed,25285,Widow,0,Indira Gandhi National Old Age Pension
TN-M8K1-YGHT,9.17E+11,Theni,54,Female,MBC,10th Pass,Weaver,30132,Married,0,Kalaignar Magalir Urimai Thogai
TN-EKUT-RMLG,9.16E+11,Ramanathapuram,24,Female,MBC,8th Pass,Daily Wage,28495,Married,0,Kalaignar Magalir Urimai Thogai
TN-2NYD-RN8C,9.18E+11,Kanyakumari,28,Male,BC,10th Pass,Unemployed,27096,Single,1,Differently Abled Pension Scheme
TN-9RA6-D9ML,9.19E+11,Madurai,27,Female,SC,Diploma,Agriculture,41392,Widow,0,Destitute Widow Pension Scheme
TN-XAPN-2A2J,9.19E+11,Kanyakumari,55,Female,BC,12th Pass,Daily Wage,83323,Married,0,Kalaignar Magalir Urimai Thogai
TN-4LC6-LYBE,9.19E+11,Madurai,21,Male,BC,12th Pass,Student,46898,Married,0,Tamil Pudhalvan Thittam
TN-17UP-YSE5,9.19E+11,Salem,67,Female,MBC,8th Pass,Unemployed,96436,Married,0,Indira Gandhi National Old Age Pension
TN-DUKD-UVMD,9.16E+11,Chennai,72,Female,MBC,10th Pass,Unemployed,110386,Married,0,Kalaignar Magalir Urimai Thogai
TN-JARA-UT7T,9.17E+11,Coimbatore,59,Female,MBC,10th Pass,Daily Wage,207165,Single,0,MGNREGS (100 Days Work)
TN-QC4U-02KQ,9.19E+11,Kanyakumari,46,Female,BC,12th Pass,Agriculture,56831,Married,0,Kalaignar Magalir Urimai Thogai
TN-JU2D-KNG8,9.19E+11,Kanyakumari,59,Male,MBC,8th Pass,Daily Wage,90348,Married,0,MGNREGS (100 Days Work)
TN-U54O-DYJH,9.16E+11,Kanyakumari,47,Male,BC,Illiterate,Agriculture,43399,Single,0,Uzhavar Aluvalar Thodarbu Thittam
TN-Q7UH-XSHD,9.19E+11,Theni,52,Male,MBC,8th Pass,Self-Employed,77515,Single,0,General Welfare / No Specific Scheme
TN-949R-1MAR,9.17E+11,Trichy,60,Female,MBC,10th Pass,Agriculture,50557,Married,0,Indira Gandhi National Old Age Pension
TN-JZUS-XHU5,9.20E+11,Madurai,42,Male,BC,10th Pass,Weaver,26961,Married,0,General Welfare / No Specific Scheme
TN-5KV0-4HA5,9.16E+11,Tirunelveli,18,Male,SC,12th Pass,Student,153681,Single,0,Tamil Pudhalvan Thittam
TN-CAHL-RV5G,9.16E+11,Chennai,20,Male,BC,10th Pass,Student,41384,Single,0,General Welfare / No Specific Scheme
TN-ZWUK-YIRE,9.20E+11,Theni,58,Female,BC,Diploma,Agriculture,34156,Married,0,Kalaignar Magalir Urimai Thogai
TN-SQL0-PRAX,9.17E+11,Trichy,35,Female,ST,12th Pass,Agriculture,20856,Single,0,Uzhavar Aluvalar Thodarbu Thittam
TN-6O3S-BP1C,9.20E+11,Ramanathapuram,31,Male,BC,10th Pass,Agriculture,112467,Married,0,Uzhavar Aluvalar Thodarbu Thittam
TN-M1UP-BETK,9.18E+11,Theni,83,Male,General,8th Pass,Unemployed,46159,Widow,0,Indira Gandhi National Old Age Pension
TN-4T96-LHK7,9.17E+11,Salem,54,Female,MBC,8th Pass,Daily Wage,122571,Single,0,MGNREGS (100 Days Work)
TN-ZF8G-KMZM,9.19E+11,Coimbatore,17,Male,SC,Illiterate,Student,84503,Single,0,General Welfare / No Specific Scheme
TN-IYSJ-3VW1,9.18E+11,Kanyakumari,17,Male,MBC,Illiterate,Student,38051,Single,0,General Welfare / No Specific Scheme
TN-Q5FH-BBS0,9.17E+11,Ramanathapuram,35,Male,SC,Graduate,Agriculture,86136,Married,1,Differently Abled Pension Scheme
TN-W1S1-CA4N,9.17E+11,Chennai,37,Male,MBC,Illiterate,Daily Wage,46169,Single,0,MGNREGS (100 Days Work)
TN-TNY6-3HNF,9.20E+11,Tirunelveli,45,Male,BC,12th Pass,Self-Employed,36000,Married,0,General Welfare / No Specific Scheme
TN-AJVS-Q67L,9.17E+11,Madurai,43,Female,BC,Graduate,Daily Wage,96552,Single,0,MGNREGS (100 Days Work)
TN-TG3T-J5FT,9.18E+11,Madurai,68,Male,MBC,8th Pass,Unemployed,33369,Married,0,Indira Gandhi National Old Age Pension
TN-UW76-YWWY,9.17E+11,Kanyakumari,77,Male,MBC,10th Pass,Unemployed,41141,Widow,0,Indira Gandhi National Old Age Pension
TN-HBO4-DLYC,9.18E+11,Vellore,64,Male,SC,Illiterate,Agriculture,47766,Married,0,Indira Gandhi National Old Age Pension
